"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-413813469839682","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/19/20","6:38 PM","16.98","0","1.99","1.47","0","20.44","-4.74","0","-0.92","0","0"
"O-018713330848473","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/6/20","8:49 PM","15.98","0","6.99","1.31","2.00","26.28","-5.74","0","-0.92","0","-6.00"
"O-643113484771452","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-643113484771452","Refund to correct a previous error","11/21/20","9:23 PM","-31.34","0","-8.99","-3.13","-6.00","-49.46","0","0","0","0","0"
"O-456313409420481","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/13/20","6:46 PM","15.58","0","8.99","1.91","3.97","30.45","-6.14","0","-1.23","0","0"
"O-296013310766570","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/4/20","6:28 PM","17.99","0","0.00","1.39","0","19.38","-4.50","0","-0.89","0","0"
"O-467813304129589","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/3/20","6:46 PM","20.53","0","0.00","1.59","3.31","25.43","-5.13","0","-1.08","0","0"
"O-578913364416465","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/9/20","7:16 PM","17.98","0","2.99","1.62","4.00","26.59","-5.24","0","-1.11","0","0"
"O-109113368433198","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/10/20","3:15 PM","38.96","0","4.99","2.94","7.00","53.89","-10.99","0","-1.76","0","-6.00"
"O-915213449974520","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/18/20","11:51 AM","56.43","0","0.00","4.37","9.11","69.91","-14.11","0","-2.43","0","0"
"O-787013440100394","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/17/20","9:37 PM","23.95","0","6.99","2.40","8.34","41.68","-7.74","0","-1.57","0","0"
"O-417213290570861","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"11/3/20","5:00 PM","29.99","0","6.99","2.40","0.01","39.39","-9.25","0","-1.32","0","-6.00"
