Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-03-05,#62957f0a,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.98,-$9.19,$0.00,$0.00,$0.00,$1.78,$1.78,,$0.00,,$15.57,
Delivery,2022-03-05,#092deec0,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.98,-$10.39,$0.00,$0.00,$0.00,$2.01,$2.01,,$0.00,,$17.60,
Delivery,2022-03-05,#00292,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.95,-$5.58,$0.00,$0.00,-$1.08,$1.08,$0.00,,$0.00,,$8.37,
Delivery,2022-03-05,#CA2A6,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.79,
Delivery,2022-03-05,#A174A,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$10.39,$0.00,$0.00,-$2.01,$2.01,$0.00,,$0.00,,$15.59,
Delivery,2022-03-05,#74E33,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.90,-$7.76,-$3.00,$0.00,-$1.85,$1.85,$0.00,,$0.00,,$16.14,
Delivery,2022-03-05,#534E5,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,-$1.32,$1.32,$0.00,,$0.00,,$11.99,
Delivery,2022-03-05,#63A33,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$10.39,$0.00,$0.00,-$2.01,$2.01,$0.00,,$0.00,,$15.59,
Delivery,2022-03-05,#c28d6823,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$42.98,-$17.19,$0.00,$0.00,$0.00,$3.33,$3.33,,$0.00,,$29.12,
Delivery,2022-03-05,#47e7f1da,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.99,-$9.60,$0.00,$0.00,$0.00,$1.86,$1.86,,$0.00,,$16.25,
Delivery,2022-03-05,#2C70A,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,-$1.32,$1.32,$0.00,,$0.00,,$11.99,
Delivery,2022-03-05,#dab11ebd,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-03-05,#8799e3a8,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$36.99,-$8.94,-$5.55,$0.00,$0.00,$2.44,$2.44,,$0.00,,$24.94,
