"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-874117960924720","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/13/22","3:01 PM","61.43","0.00","0","4.76","0","66.19","-12.29","-6.14","-2.32","0","0"
"O-230317976160890","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/13/22","6:48 PM","41.71","0.00","0","3.23","0","44.94","-8.34","-4.17","-1.67","0","0"
"O-774918086367863","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/24/22","5:38 PM","25.98","0.00","0","2.01","0","27.99","-5.20","-2.60","-1.15","0","0"
"O-731817973123905","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/13/22","5:21 PM","69.96","0.00","0","5.42","0","75.38","-13.99","-7.00","-2.60","0","0"
"O-038117972135607","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/13/22","4:49 PM","49.98","0.00","0","3.87","0","53.85","-10.00","-5.00","-1.94","0","0"
"O-003417890648702","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/5/22","7:57 PM","42.74","0.00","0","3.31","0","46.05","-8.55","-4.27","-1.70","0","0"
"O-010617925887626","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/9/22","1:30 PM","20.22","0.00","0","1.57","0","21.79","-4.04","-2.02","-0.96","0","0"
"O-720017956253458","The Wing Shop - Alton Pkwy","Prepaid Order",,"2/12/22","2:22 PM","28.48","0.00","0","2.21","0","30.69","-5.70","-2.85","-1.24","0","0"
"O-720517848023243","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/1/22","12:27 PM","16.98","0.00","0","1.32","0","18.30","-3.40","-1.70","-0.86","0","0"
"O-117017909795564","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/6/22","6:51 PM","33.94","0.00","0","2.63","0","36.57","-6.79","-3.39","-1.42","0","0"
"O-961518012874626","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/17/22","5:57 PM","24.97","0.00","0","1.94","0","26.91","-4.99","-2.50","-1.12","0","0"
"O-663917869184064","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/2/22","7:09 PM","32.94","0.00","0","2.55","0","35.49","-6.59","-3.29","-1.38","0","0"
"O-008517981101422","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/14/22","5:16 PM","77.41","0.00","0","6.00","0","83.41","-15.48","-7.74","-2.84","0","0"
"O-940317941176411","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/11/22","4:24 PM","33.97","0.00","0","2.63","0","36.60","-6.79","-3.40","-1.42","0","0"
"O-003417860664771","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/2/22","6:49 PM","40.95","0.00","0","3.17","0","44.12","-8.19","-4.10","-1.65","0","0"
"O-558417922330122","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"2/9/22","12:42 PM","28.42","0.00","0","2.20","0","30.62","-5.68","-2.84","-1.23","0","0"
