Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-02-20,#481E3,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.00,-$6.40,$0.00,$0.00,-$1.24,$1.24,$0.00,,$0.00,,$9.60,
Delivery,2022-02-20,#33C18,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$37.00,-$11.80,-$3.00,$0.00,-$2.63,$2.63,$0.00,,$0.00,,$22.20,
Delivery,2022-02-20,#e2b1d1f2,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.48,-$9.39,$0.00,$0.00,$0.00,$1.82,$1.82,,$0.00,,$15.91,
Delivery,2022-02-20,#cf4d7577,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.98,-$7.99,$0.00,$0.00,$0.00,$1.55,$1.55,,$0.00,,$13.54,
Delivery,2022-02-20,#6915b273,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$35.96,-$8.69,-$5.39,$0.00,$0.00,$2.37,$2.37,,$0.00,,$24.25,
Delivery,2022-02-20,#980118045743325,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$30.97,-$12.39,$0.00,$0.00,$0.00,$2.40,$2.40,,$0.00,,$20.98,
Delivery,2022-02-20,#931d074e,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.98,-$9.59,$0.00,$0.00,$0.00,$1.86,$1.86,,$0.00,,$16.25,
Delivery,2022-02-20,#3a4fc96c,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-20,#b4643cf4,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$0.00,$1.01,$1.01,,$0.00,,$8.80,
Delivery,2022-02-20,#e94b63e1,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$49.35,-$14.45,-$5.00,$0.00,$0.00,$3.44,$3.44,,$0.00,,$33.35,
Delivery,2022-02-20,#3e16f3fd,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$0.00,$0.00,$1.16,$1.16,,$0.00,,$10.13,
Delivery,2022-02-20,#3cb5439d,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.24,-$7.69,$0.00,$0.00,$0.00,$1.49,$1.49,,$0.00,,$13.04,
Delivery,2022-02-20,#EFC62,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$7.39,-$3.00,$0.00,-$1.78,$1.78,$0.00,,$0.00,,$15.59,
Delivery,2022-02-21,#57DF5,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.98,-$7.99,$0.00,$0.00,-$1.55,$1.55,$0.00,,$0.00,,$11.99,
Delivery,2022-02-21,#F4E7F,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$43.00,-$14.20,-$3.00,$0.00,-$3.10,$3.10,$0.00,,$0.00,,$25.80,
Delivery,2022-02-21,#14664,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$38.00,-$15.20,$0.00,$0.00,-$2.95,$2.95,$0.00,,$0.00,,$22.80,
Delivery,2022-02-21,#451d81e5,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.48,-$8.19,$0.00,$0.00,$0.00,$1.59,$1.59,,$0.00,,$13.88,
Delivery,2022-02-21,#bf324d32,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$29.48,-$8.49,-$3.00,$0.00,$0.00,$2.05,$2.05,,$0.00,,$20.04,
Delivery,2022-02-21,#eda1c8ae,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.95,-$3.49,-$3.00,$0.00,$0.00,$1.08,$1.08,,$0.00,,$11.55,
Delivery,2022-02-21,#BE520,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$6.60,-$1.40,$0.00,-$1.44,$1.44,$0.00,,$0.00,,$11.99,
Delivery,2022-02-21,#a18ca154,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.99,-$8.40,$0.00,$0.00,$0.00,$1.63,$1.63,,$0.00,,$14.22,
