"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-266514730823821","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/26/21","8:35 PM","26.55","0","2.99","2.29","8.17","40.00","-7.39","0","-1.52","0"
"O-113214524904198","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/6/21","12:08 PM","64.68","0","4.99","5.40","15.01","90.08","-17.42","0","-3.05","0"
"O-432214520250719","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/5/21","9:47 PM","55.76","0","6.99","4.86","10.14","77.75","-15.69","0","-2.67","0"
"O-206514692502822","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/22/21","6:58 PM","19.56","0","2.99","1.75","4.47","28.77","-5.64","0","-1.18","0"
"O-665014600344735","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/13/21","5:19 PM","28.98","0","0.00","2.25","0","31.23","-7.25","0","-1.25","0"
"O-705514781005058","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/31/21","6:20 PM","62.42","0","1.99","4.99","10.41","79.81","-16.10","0","-2.73","0"
"O-396814698064367","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/22/21","6:53 PM","48.91","0","1.99","3.94","8.23","63.07","-12.73","0","-2.22","0"
"O-728514690728332","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/22/21","8:09 PM","25.20","0","0.00","1.95","0","27.15","-6.30","0","-1.13","0"
"O-097814748484751","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/27/21","6:13 PM","34.97","0","4.99","3.10","4.31","47.37","-9.99","0","-1.74","0"
"O-933614676283956","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/20/21","6:25 PM","49.74","0","0.00","3.85","0","53.59","-12.44","0","-1.93","0"
"O-665014730373505","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/26/21","9:06 PM","18.99","0","4.99","1.86","5.16","31.00","-6.00","0","-1.25","0"
"O-332214565641886","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/9/21","5:10 PM","24.45","0","0.00","1.89","0","26.34","-6.11","0","-1.10","0"
"O-456914751706217","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"3/29/21","5:10 PM","54.74","0","0.00","4.24","0","58.98","-13.69","0","-2.10","0"
