"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-428018524605292","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/9/22","7:34 PM","33.97","2.99","0","2.86","5.97","45.79","-4.62","-1.70","0"
"O-489818447177451","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/1/22","8:54 PM","59.00","4.99","0","4.96","12.71","81.66","-8.00","-2.79","0"
"O-489818537171827","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/10/22","5:57 PM","36.56","2.99","0","3.06","5.91","48.52","-4.94","-1.78","0"
"O-779718583977662","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/15/22","8:54 PM","17.98","2.99","0","1.62","3.38","25.97","-2.62","-1.09","0"
"O-260218585399560","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/15/22","8:09 PM","51.36","2.99","0","4.21","8.78","67.34","-6.79","-2.35","0"
"O-752918731949173","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/30/22","7:35 PM","44.64","0.00","0","3.46","0","48.10","-5.58","-1.77","0"
"W-489818457175715","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/3/22","12:10 PM","32.97","0.00","0","2.56","0","35.53","0","-1.38","0"
"T-AwEAAAAAAATV6QmiPyDHAxHsqg-ZQB6ZWzA","Ameci Pizza & Pasta - Trabuco Rd","Account Adjustment","Customer Care credit","4/28/22","7:54 AM","0","0.00","0","0.00","0","12.92","0","0","0"
"O-897618465380930","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/4/22","4:14 PM","18.99","0.00","0","1.47","4.09","24.55","-2.37","-1.05","0"
"W-521018622058819","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/20/22","11:45 AM","48.55","2.99","0","3.99","3.00","58.53","0","-2.09","0"
"O-318718486679266","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"4/5/22","9:29 PM","30.51","2.99","0","2.59","5.00","41.09","-4.19","-1.55","0"
