Order Channel,ID,Fulfillment Type,Restaurant,Type,Description,Date,Time,Subtotal,Delivery Fee,Service Fee,Service Fee Exemption,(flexible fees),Tax Fee,Tax Fee Exemption,Tip,Restaurant Total,Commission,GH+ Commission,Delivery Commission,Processing Fee,Withheld Tax,Withheld Tax Exemption,Targeted Promotion,Rewards
MARKETPLACE,O-652229523357957,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/14/25,"2:36 PM PDT, UTC-07:00",44.76,0,0,0,n/a,3.47,0,4,52.23,-6.71,n/a,0,-1.89,0,0,0,n/a
MARKETPLACE,O-392829300024454,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,03/22/25,"6:22 PM PDT, UTC-07:00",34.47,0,0,0,n/a,2.67,0,0,37.14,-5.17,n/a,0,-1.43,0,0,0,n/a
MARKETPLACE,O-635329881097895,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/19/25,"6:44 PM PDT, UTC-07:00",95.16,2.99,0,0,n/a,7.6,0,20,125.75,-14.72,n/a,0,-4.14,0,0,0,n/a
MARKETPLACE,O-362728790781250,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/30/25,"7:23 PM PST, UTC-08:00",13.99,0,0,0,n/a,1.08,0,0,15.07,-2.1,n/a,0,-0.76,0,0,0,n/a
MARKETPLACE,O-558029469622736,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/07/25,"7:21 PM PDT, UTC-07:00",55.46,0,0,0,n/a,3.68,0,0,59.14,-8.32,n/a,0,-1.86,0,0,-8,n/a
MARKETPLACE,O-564529976392621,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/29/25,"4:56 PM PDT, UTC-07:00",13.99,0,0,0,n/a,1.08,0,2,17.07,-2.1,n/a,0,-0.82,0,0,0,n/a
MARKETPLACE,O-178629147041523,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Cancelation of O-178629147041523,,03/06/25,"10:41 PM PST, UTC-08:00",-25.82,0,0,0,n/a,-2,0,0,-27.82,3.87,n/a,2.58,1.15,0,0,0,n/a
MARKETPLACE,O-523729431050647,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/04/25,"8:56 PM PDT, UTC-07:00",20.99,4.99,0,0,n/a,2.02,0,2.38,30.38,-3.9,n/a,0,-1.23,0,0,0,n/a
MARKETPLACE,O-068328811599982,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/02/25,"3:19 PM PST, UTC-08:00",63.93,6.99,0,0,n/a,5.49,0,18.94,95.35,-10.64,n/a,0,-3.21,0,0,0,n/a
MARKETPLACE,O-689628652389823,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,01/17/25,"2:59 PM PST, UTC-08:00",10.99,0,0,0,n/a,0.85,0,0,11.84,-1.65,n/a,-1.1,-0.66,0,0,0,n/a
MARKETPLACE,O-800430256324112,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,06/25/25,"8:35 PM PDT, UTC-07:00",43.8,0,0,0,n/a,2.77,0,0,46.57,-6.57,n/a,-4.38,-1.48,0,0,-8,n/a
MARKETPLACE,O-797629716502459,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/02/25,"6:54 PM PDT, UTC-07:00",28.99,0,0,0,n/a,1.63,0,0,30.62,-4.35,n/a,-2.9,-0.99,0,0,-8,n/a
MARKETPLACE,O-888029576976004,Pick-Up,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/19/25,"11:18 AM PDT, UTC-07:00",44.96,0,0,0,n/a,3.48,0,0,48.44,-6.74,n/a,0,-1.78,0,0,0,n/a
MARKETPLACE,O-005729646978050,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/25/25,"6:01 PM PDT, UTC-07:00",40.98,8.99,0,0,n/a,3.88,0,9.27,63.12,-7.5,n/a,0,-2.23,0,0,0,n/a
MARKETPLACE,W-282828934583952,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,02/14/25,"11:00 AM PST, UTC-08:00",86.94,6.99,0,0,n/a,7.28,0,14.76,115.97,-14.09,n/a,0,-3.84,0,0,0,n/a
MARKETPLACE,O-394229650604276,Self Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/27/25,"5:06 PM PDT, UTC-07:00",72.74,4.99,0,0,n/a,6.03,0,12.35,96.11,-11.66,n/a,0,-3.23,0,0,0,n/a
MARKETPLACE,O-691629501756536,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,04/11/25,"7:18 PM PDT, UTC-07:00",23.99,0,0,0,n/a,1.86,0,0,25.85,-3.6,n/a,-2.4,-1.09,0,0,0,n/a
MARKETPLACE,O-831029921377039,Grubhub Delivery,Aroma Pizza & Pasta - Alton Pkwy,Prepaid Order,,05/24/25,"4:42 PM PDT, UTC-07:00",45.33,0,0,0,n/a,3.51,0,0,48.84,-6.8,n/a,-4.53,-1.79,0,0,0,n/a
