"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-911015287228586","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/21/21","5:01 PM","11.99","0","0.00","0.93","0","12.92","-3.00","0","-0.69","0"
"O-173515157061996","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/7/21","8:22 PM","26.72","0","2.99","2.30","4.80","36.81","-7.43","0","-1.42","0"
"O-716015193263320","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/12/21","1:15 PM","218.91","0","19.99","18.52","5.00","262.42","-41.81","0","-8.30","0"
"O-424415273851832","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/19/21","6:46 PM","39.55","0","0.00","3.07","6.39","49.01","-9.89","0","-1.79","0"
"O-173515157095077","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/7/21","6:21 PM","18.98","0","0.00","1.47","2.05","22.50","-4.75","0","-0.99","0"
"O-274815173939529","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/9/21","5:55 PM","33.98","0","1.99","2.78","5.00","43.75","-8.99","0","-1.63","0"
"O-438915093583537","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"5/1/21","6:10 PM","22.15","0","4.99","2.11","0","33.63","-6.79","0","0","0"
"O-928515289253793","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/21/21","5:08 PM","15.98","0","0.00","1.24","0","17.22","-4.00","0","-0.83","0"
"O-191415356001228","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/28/21","5:42 PM","19.77","0","4.99","1.92","3.20","29.88","-6.19","0","-1.21","0"
"O-047415283137476","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/20/21","8:00 PM","48.83","0","4.99","4.17","8.70","66.69","-13.46","0","-2.33","0"
"O-661915323192955","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/24/21","7:04 PM","23.98","0","2.99","2.09","2.00","31.06","-6.74","0","-1.25","0"
"O-523915146032560","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/6/21","8:30 PM","33.97","0","1.99","2.78","7.32","46.06","-8.99","0","-1.70","0"
"O-576515124034417","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/5/21","12:20 PM","20.48","0","6.99","2.13","1.00","30.60","-6.87","0","-1.23","0"
"O-488915227904675","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/14/21","6:17 PM","21.98","0","4.99","2.09","2.91","31.97","-6.74","0","-1.28","0"
"O-383915175886578","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/9/21","6:41 PM","26.98","0","8.99","2.79","5.81","44.57","-8.99","0","-1.66","0"
"O-857715360272383","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/28/21","8:04 PM","23.56","0","8.99","2.53","5.92","41.00","-8.14","0","-1.55","0"
"O-402415357707246","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/27/21","6:59 PM","20.48","0","1.99","1.74","3.63","27.84","-5.62","0","-1.15","0"
"O-248015377764708","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/29/21","6:43 PM","45.95","0","0.00","3.56","5.00","54.51","-11.49","0","-1.96","0"
"O-881415160398021","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/9/21","12:00 PM","23.70","0","4.99","2.23","4.63","35.55","-7.17","0","-1.38","0"
"O-055815281341676","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/21/21","4:51 PM","25.97","0","6.99","2.55","5.32","40.83","-8.24","0","-1.55","0"
"O-679115332840655","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/25/21","9:29 PM","26.95","0","6.99","2.63","2.90","39.47","-8.49","0","-1.50","0"
"O-803415386449302","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/31/21","4:52 PM","37.98","0","4.99","3.33","0","46.30","-10.74","0","-1.71","0"
"O-519215341665657","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/27/21","2:47 PM","16.98","0","4.99","1.71","0","23.68","-5.49","0","-1.02","0"
"O-539815159703993","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/8/21","3:36 PM","20.98","0","2.99","1.86","3.87","29.70","-5.99","0","-1.21","0"
"O-198915184748513","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/10/21","5:41 PM","15.74","0","0.00","1.22","0","16.96","-3.94","0","-0.82","0"
"O-838715095610574","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-838715095610574","Change of Plans","5/1/21","7:26 PM","-25.48","0","0.00","-1.97","0","-27.45","6.37","0","1.14","0"
"O-296815222031123","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/14/21","6:29 PM","30.56","0","1.99","2.52","3.51","38.58","-8.14","0","-1.48","0"
"O-362415246628868","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/16/21","7:18 PM","31.71","0","4.99","2.85","5.93","45.48","-9.18","0","-1.69","0"
"O-517015362765615","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/29/21","4:46 PM","60.72","0","1.99","4.86","13.09","80.66","-15.68","0","-2.76","0"
"O-604515395289814","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/31/21","7:30 PM","27.98","0","0.00","2.17","0","30.15","-7.00","0","-1.22","0"
"O-008615221331764","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/15/21","11:53 AM","47.32","0","2.99","3.90","8.13","62.34","-12.58","0","-2.20","0"
"O-117015101998695","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"5/2/21","8:26 PM","16.78","0","0.00","1.30","0","18.08","-4.20","0","0","0"
"O-051315347881473","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/27/21","12:32 PM","12.99","0","0.00","1.01","0","14.00","-3.25","0","-0.73","0"
"O-673115154357883","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/8/21","1:34 PM","36.73","0","1.99","3.00","0","41.72","-9.68","0","-1.57","0"
"O-821215255711937","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/18/21","12:39 PM","33.96","0","6.99","3.17","6.00","50.12","-10.24","0","-1.83","0"
"O-994915252647337","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/18/21","1:38 PM","16.98","0","6.99","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-305715381857929","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/30/21","7:15 PM","37.92","0","4.99","3.33","6.94","53.18","-10.73","0","-1.92","0"
"O-777815220024540","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/14/21","9:08 PM","15.51","0","2.99","1.43","4.07","24.00","-4.63","0","-1.03","0"
"O-777815200053986","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/12/21","8:19 PM","27.48","0","0.00","2.13","2.50","32.11","-6.87","0","-1.28","0"
"O-283015239931506","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/16/21","4:12 PM","41.70","0","6.99","3.77","8.99","61.45","-12.17","0","-2.17","0"
"O-777815200058829","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"5/12/21","8:15 PM","58.40","0","6.99","5.07","5.00","75.46","-16.35","0","-2.60","0"
