"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-569316022494985","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/2/21","6:42 PM","14.53","0.00","0","1.13","0","15.66","-2.18","0","-0.78","0","0"
"O-648416300459156","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/31/21","12:44 PM","21.99","1.99","0","1.85","3.87","29.70","-3.60","0","-1.21","0","0"
"O-687016080809651","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","6:49 PM","40.97","4.99","0","3.18","7.37","56.51","-6.89","0","-1.87","0","-5.00"
"O-580016029591057","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/3/21","1:06 PM","25.98","0.00","0","2.01","0","27.99","-3.90","0","-1.15","0","0"
"O-340416134095666","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/14/21","3:15 PM","52.51","4.99","0","4.07","1.00","62.57","-8.63","0","-2.06","0","-5.00"
"O-112216256990559","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-112216256990559","MISSING_ITEM - Refund requested by diner via help interaction","8/25/21","8:38 PM","-19.98","0.00","0","-1.55","0","-21.53","0","0","0","0","0"
"O-035316259977240","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/25/21","6:34 PM","18.97","8.99","0","2.17","3.01","33.14","-4.19","0","-1.31","0","0"
"O-519016204820744","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","6:50 PM","23.86","1.99","0","2.00","3.86","31.71","-3.88","0","-1.27","0","0"
"O-252516217780755","Aroma Pizza & Pasta - Alton Pkwy","Cash Order",,"8/21/21","5:36 PM","58.52","0.00","0","4.54","0","63.06","-8.78","0","0","0","0"
"O-323316305620136","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-323316305620136","Restaurant cannot fulfill order","8/31/21","5:21 PM","-18.97","-8.99","0","-2.17","-2.04","-32.17","4.19","0","1.28","0","0"
"O-094916082568432","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","7:57 PM","24.96","4.99","0","2.32","2.69","34.96","-4.49","0","-1.37","0","0"
"O-859116158391834","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/15/21","8:32 PM","11.98","0.00","0","0.93","0","12.91","-1.80","0","-0.69","0","0"
"O-640616279956765","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/28/21","1:21 PM","10.99","0.00","0","0.85","0","11.84","-1.65","0","-0.66","0","0"
"O-305416190525296","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/20/21","4:52 PM","35.57","0.00","0","2.76","0","38.33","-5.34","0","-1.47","0","0"
"O-406716274806025","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/28/21","6:20 PM","30.08","1.99","0","2.48","7.00","41.55","-4.81","0","-1.57","0","0"
"O-370616148636921","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/14/21","8:13 PM","69.00","6.99","0","5.50","5.00","86.49","-11.40","0","-2.79","0","-5.00"
"O-199416035995321","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/4/21","11:59 AM","20.98","4.99","0","1.63","2.00","29.60","-3.90","0","-1.05","0","-5.00"
"O-612216174788429","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/17/21","8:56 PM","29.98","8.99","0","3.02","6.29","48.28","-5.85","0","-1.77","0","0"
"O-696016253236708","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/26/21","3:00 PM","13.23","0.00","0","1.03","0","14.26","-1.98","0","-0.73","0","0"
"O-153616074194516","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/8/21","4:12 PM","17.98","1.99","0","1.16","1.00","22.13","-3.00","0","-0.82","0","-5.00"
"O-754316160997215","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/16/21","6:23 PM","21.36","2.99","0","1.89","3.00","29.24","-3.65","0","-1.19","0","0"
"O-756316270631844","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/28/21","5:43 PM","18.48","4.99","0","1.82","2.53","27.82","-3.52","0","-1.15","0","0"
"O-859116138342116","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"8/13/21","9:07 PM","23.86","6.99","0","2.39","6.65","39.89","-4.63","0","-1.52","0","0"
