"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-574618570917708","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/14/22","9:03 PM","38.47","0.00","0","2.98","0","41.45","-7.69","-3.85","-1.56","0","0"
"O-801718467956622","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/3/22","7:34 PM","18.98","0.00","0","1.47","0","20.45","-3.80","-1.90","-0.92","0","0"
"O-732418626376150","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/20/22","3:11 PM","37.96","0.00","0","2.94","0","40.90","-7.59","-3.80","-1.55","0","0"
"O-560218688624510","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/26/22","5:53 PM","28.97","0.00","0","2.25","0","31.22","-5.79","-2.90","-1.25","0","0"
"O-928918727125531","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/29/22","8:58 PM","33.72","0.00","0","2.61","0","36.33","-6.74","-3.37","-1.41","0","0"
"O-247018489761453","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/5/22","7:46 PM","39.96","0.00","0","3.10","0","43.06","-7.99","-4.00","-1.61","0","0"
"O-823818712376061","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/29/22","2:27 PM","19.96","0.00","0","1.55","0","21.51","-3.99","-2.00","-0.96","0","0"
"O-350918720276373","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/30/22","2:56 PM","55.93","0.00","0","4.33","0","60.26","-11.19","-5.59","-2.14","0","0"
"O-512818529692988","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/10/22","4:13 PM","20.98","0.00","0","1.63","0","22.61","-4.20","-2.10","-0.99","0","0"
"O-637618502839239","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/7/22","7:57 PM","22.97","0.00","0","1.78","0","24.75","-4.59","-2.30","-1.05","0","0"
"O-733318554680851","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/13/22","4:08 PM","11.99","0.00","0","0.93","0","12.92","-2.40","-1.20","-0.69","0","0"
"O-781918564168235","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/13/22","8:43 PM","42.96","0.00","0","3.33","0","46.29","-8.59","-4.30","-1.71","0","0"
"O-733018712521849","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/28/22","9:36 PM","16.98","0.00","0","1.32","0","18.30","-3.40","-1.70","-0.86","0","0"
"O-732418666331933","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/23/22","8:25 PM","20.47","0.00","0","1.59","0","22.06","-4.09","-2.05","-0.97","0","0"
"O-434118647101823","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"4/21/22","6:14 PM","45.96","0.00","0","3.56","0","49.52","-9.19","-4.60","-1.81","0","0"
