"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-336816834853103","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/22/21","7:01 PM","50.33","6.99","0","4.44","10.85","72.61","-8.60","0","-2.51","0","0"
"O-579716708339259","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-579716708339259","Refund due to order adjustment  order is 30mins late and cold food arrived","10/10/21","12:27 PM","-19.98","-1.99","0","-1.70","-3.55","-27.22","0","0","0","0","0"
"O-112616628260779","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/2/21","12:52 PM","20.48","4.99","0","1.36","4.02","30.85","-3.82","0","-1.00","0","-8.00"
"O-090716664196709","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/5/21","6:04 PM","44.93","4.99","0","3.87","9.68","63.47","-7.49","0","-2.24","0","0"
"O-735116824276302","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/22/21","1:05 PM","24.98","4.99","0","2.33","6.46","38.76","-4.50","0","-1.48","0","0"
"O-963916771858057","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/17/21","5:28 PM","27.74","1.99","0","2.30","4.80","36.83","-4.46","0","-1.42","0","0"
"O-374816876033805","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/26/21","8:00 PM","33.05","0.00","0","2.56","0","35.61","-4.96","0","-1.39","0","0"
"O-824616856107029","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/24/21","6:31 PM","20.98","2.99","0","1.86","3.87","29.70","-3.60","0","-1.21","0","0"
"O-461216639816961","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/3/21","12:50 PM","30.95","6.99","0","2.94","5.00","45.88","-5.69","0","-1.70","0","0"
"O-069216801590280","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/20/21","5:39 PM","44.95","0.00","0","3.48","0","48.43","-6.74","0","-1.78","0","0"
"O-349216903282120","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"10/29/21","6:37 PM","19.99","4.99","0","1.94","3.23","30.15","-3.75","0","-1.22","0","0"
"O-112616638205745","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/2/21","8:01 PM","42.74","0.00","0","3.31","0","46.05","-8.55","-4.27","-1.70","0","0"
"O-824616886103532","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/27/21","7:16 PM","135.66","0.00","0","10.51","0","146.17","-27.13","-13.57","-4.76","0","0"
"O-735116914275069","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/31/21","2:23 PM","44.97","0.00","0","3.49","0","48.46","-8.99","-4.50","-1.78","0","0"
"O-336816894856411","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/28/21","7:22 PM","29.98","0.00","0","2.32","0","32.30","-6.00","-3.00","-1.29","0","0"
"O-742616724660543","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/11/21","7:14 PM","54.46","0.00","0","4.22","0","58.68","-10.89","-5.45","-2.09","0","0"
"O-112616728215677","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/12/21","12:46 PM","17.99","0.00","0","1.39","0","19.38","-3.60","-1.80","-0.89","0","0"
"O-043816624776684","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/1/21","6:01 PM","48.94","0.00","0","3.79","0","52.73","-9.79","-4.89","-1.91","0","0"
"O-046016624713268","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/2/21","12:21 PM","26.47","0.00","0","2.05","0","28.52","-5.29","-2.65","-1.17","0","0"
"O-214216663618000","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/5/21","8:07 PM","32.71","0.00","0","2.54","0","35.25","-6.54","-3.27","-1.38","0","0"
"O-477516846068803","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/23/21","7:09 PM","47.48","0.00","0","3.68","0","51.16","-9.50","-4.75","-1.86","0","0"
"O-398716707935390","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/10/21","1:43 PM","39.74","0.00","0","3.08","0","42.82","-7.95","-3.97","-1.61","0","0"
"O-735116914275069","The Wing Shop - Alton Pkwy","Adjustment of O-735116914275069","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/31/21","2:23 PM","0","0.00","0","0.00","0","0.00","0","0","0","0","0"
"O-336816904801876","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/29/21","9:40 PM","29.98","0.00","0","2.32","0","32.30","-6.00","-3.00","-1.29","0","0"
"O-735116884272639","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/28/21","1:54 PM","17.99","0.00","0","1.39","0","19.38","-3.60","-1.80","-0.89","0","0"
"O-112616718205427","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/10/21","8:59 PM","36.46","0.00","0","2.83","0","39.29","-7.29","-3.65","-1.50","0","0"
"O-112616638205745","The Wing Shop - Alton Pkwy","Adjustment of O-112616638205745","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/2/21","9:12 PM","0","0.00","0","0.00","0","0.00","0","0","0","0","0"
"O-503316699327095","The Wing Shop - Alton Pkwy","Prepaid Order",,"10/9/21","5:00 PM","14.99","0.00","0","1.16","0","16.15","-3.00","-1.50","-0.79","0","0"
"O-503316719308166","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/11/21","4:28 PM","24.98","0.00","0","1.94","0","26.92","-5.00","-2.50","-1.12","0","0"
"O-294916666158002","Trattoria Contadina - Alton Pkwy","Adjustment of O-294916666158002","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/6/21","11:37 AM","0","0.00","0","0.00","0","0.00","0","0","0","0","0"
"O-043816714769498","Trattoria Contadina - Alton Pkwy","Adjustment of O-043816714769498","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/11/21","3:52 PM","0","0.00","0","0.00","0","0.00","0","0","0","0","0"
"O-477516806066989","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/19/21","7:04 PM","36.17","0.00","0","2.80","0","38.97","-7.23","-3.62","-1.49","0","0"
"O-214216673610930","Trattoria Contadina - Alton Pkwy","Adjustment of O-214216673610930","MISSING_ITEM - Refund requested by diner via help interaction","10/6/21","6:44 PM","-10.49","0.00","0","-0.81","0","-11.30","0","0","0","0","0"
"O-913516697960271","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/8/21","9:46 PM","51.45","0.00","0","3.99","0","55.44","-10.29","-5.15","-1.99","0","0"
"O-937116794932580","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/19/21","1:07 PM","13.99","0.00","0","1.08","0","15.07","-2.80","-1.40","-0.76","0","0"
"O-214216753624903","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/15/21","4:26 PM","41.45","0.00","0","3.21","0","44.66","-8.29","-4.15","-1.66","0","0"
"O-043816764779021","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/15/21","6:35 PM","51.84","0.00","0","4.02","0","55.86","-10.37","-5.18","-2.00","0","0"
"O-927516801083797","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/19/21","9:04 PM","37.96","0.00","0","2.94","0","40.90","-7.59","-3.80","-1.55","0","0"
"O-051716924066897","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"10/31/21","6:58 PM","28.68","0.00","0","2.22","0","30.90","-5.74","-2.87","-1.24","0","0"
