"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-073517325855384","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/10/21","7:13 PM","130.90","6.99","0","10.68","22.29","170.86","-20.68","0","-5.51","0","0"
"O-718417254645474","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/3/21","9:15 PM","44.39","2.99","0","3.67","7.65","58.70","-7.11","0","-2.09","0","0"
"O-404717384395783","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/16/21","5:22 PM","30.95","1.99","0","1.93","3.49","38.36","-4.94","0","-1.23","0","-8.00"
"O-891917209905152","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-891917209905152","Change of Plans","12/1/21","11:30 AM","-154.98","-19.99","0","-13.56","-10.00","-198.53","30.62","0","6.36","0","0"
"O-513517240716904","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/2/21","6:30 PM","29.81","0.00","0","2.31","0","32.12","-4.47","-2.98","-1.28","0","0"
"O-465617394332076","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/17/21","6:32 PM","21.99","8.99","0","2.40","4.74","38.12","-4.65","0","-1.46","0","0"
"O-658517476340935","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/26/21","3:07 PM","46.55","8.99","0","4.31","8.98","68.83","-8.33","0","-2.40","0","0"
"O-465617394330916","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/17/21","4:30 PM","19.99","0.00","0","1.55","0","21.54","-3.00","0","-0.96","0","0"
"O-891917209905152","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/1/21","11:30 AM","154.98","19.99","0","13.56","10.00","198.53","-30.62","0","-6.36","0","0"
"O-590717246119521","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/3/21","4:09 PM","22.97","4.99","0","1.55","2.41","31.92","-4.19","0","-1.03","0","-8.00"
"O-456117357819945","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/14/21","12:00 PM","23.47","1.99","0","1.97","4.27","31.70","-3.82","0","-1.27","0","0"
"O-041917389900486","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/16/21","5:49 PM","25.98","1.99","0","2.16","4.51","34.64","-4.20","0","-1.36","0","0"
"O-183417416944190","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"12/20/21","1:15 PM","26.76","0.00","0","2.07","0","28.83","-4.01","0","-1.18","0","0"
