"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-082115822524347","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/14/21","1:10 PM","19.74","0.00","0","1.53","0","21.27","-4.94","0","-0.95","0"
"O-252515786124060","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/9/21","7:08 PM","29.98","0.00","0","2.32","0","32.30","-7.50","0","-1.29","0"
"O-252515776124858","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/8/21","9:05 PM","15.98","8.99","0","1.94","2.58","29.49","-6.24","0","-1.20","0"
"O-871115697020683","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/1/21","4:30 PM","35.39","6.99","0","3.28","6.84","52.50","-10.60","0","-1.90","0"
"O-223815782658393","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/9/21","8:15 PM","19.28","6.99","0","2.03","3.12","31.42","-6.57","0","-1.26","0"
"O-989615894153093","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/20/21","6:34 PM","45.94","8.99","0","4.26","1.00","60.19","-13.73","0","-2.14","0"
"O-233615841117425","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/15/21","8:24 PM","18.97","0.00","0","1.47","3.06","23.50","-4.74","0","-1.02","0"
"O-232715884942048","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/20/21","4:24 PM","27.96","6.99","0","2.71","4.52","42.18","-8.74","0","-1.59","0"
"O-216115780946331","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/9/21","9:44 PM","56.77","6.99","0","4.94","12.23","80.93","-15.94","0","-2.77","0"
"O-754215795618972","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","5:52 PM","16.48","4.99","0","1.67","3.47","26.61","-5.37","0","-1.11","0"
"O-255715698575005","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/1/21","1:21 PM","48.01","6.99","0","4.26","11.85","71.11","-13.75","0","-2.47","0"
"O-232715894984530","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/20/21","9:47 PM","44.00","1.99","0","3.56","9.91","59.46","-11.50","0","-2.11","0"
"O-922915738914491","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","1:00 PM","22.98","0.00","0","1.78","0","24.76","-5.75","0","-1.06","0"
"O-754215795688741","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/11/21","12:53 PM","22.98","4.99","0","2.17","2.48","32.62","-6.99","0","-1.29","0"
"O-871115747011139","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/5/21","6:35 PM","16.98","0.00","0","1.32","0","18.30","-4.25","0","-0.86","0"
"O-647015879102914","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/19/21","4:03 PM","49.97","2.99","0","4.10","5.00","62.06","-13.24","0","-2.19","0"
"O-363815771406466","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/9/21","1:52 PM","27.72","2.99","0","2.38","4.48","37.57","-7.68","0","-1.45","0"
"O-205315852558679","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/16/21","7:00 PM","54.96","1.99","0","4.41","12.27","73.63","-14.24","0","-2.55","0"
"O-359415780067496","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/10/21","4:58 PM","16.98","6.99","0","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-551016007217954","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/31/21","8:10 PM","37.98","8.99","0","3.64","8.18","58.79","-7.05","0","-2.09","0"
"O-914415857109304","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/16/21","6:31 PM","19.99","4.99","0","1.94","4.04","30.96","-6.25","0","-1.24","0"
"O-989615874126884","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/19/21","5:42 PM","38.97","8.99","0","3.72","7.50","59.18","-11.99","0","-2.10","0"
"O-710215693125379","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/1/21","4:29 PM","19.28","1.99","0","1.64","3.07","25.98","-5.32","0","-1.09","0"
"O-223815802657423","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/11/21","7:04 PM","24.52","2.99","0","2.13","4.45","34.09","-6.88","0","-1.34","0"
"O-572715994678883","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/30/21","7:18 PM","135.70","4.99","0","10.91","21.93","173.53","-21.10","0","-5.59","0"
"O-260315955777981","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/27/21","5:29 PM","32.94","4.99","0","2.94","8.17","49.04","-5.69","0","-1.80","0"
"O-989615864150627","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"7/17/21","6:10 PM","67.96","0.00","0","5.27","10.98","84.21","-16.99","0","-2.87","0"
"O-431115810333419","The Wing Stop - Alton Pkwy","Prepaid Order",,"7/12/21","7:27 PM","18.74","0.00","0","1.45","0","20.19","-3.75","-1.87","-0.92","0"
