transaction id,transaction date,account name,transaction description,transaction line description,amount (one column),,debit amount (two column approach),credit amount (two column approach),other accounts for this transaction,customer,vendor,invoice number,bill number,notes / memo,amount before sales tax,sales tax amount,sales tax name,transaction date added,transaction date last modified,account group,account type,account id,source_accounting_file,wave_account
1512571629538911862,2022-07-06,Slice Sales,SLICE DES:SLICE15639 ID:ST-V8V1G9B9L4O0 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,6593.91,,,6593.91,Business Advantage Chk (602),,,,,,6593.91,,,2022-07-05,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1512571629547300471,2022-07-06,Slice Sales,SLICE DES:SLICE15639 ID:ST-P5F9B7L1O8Z8 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,680.86,,,680.86,Business Advantage Chk (602),,,,,,680.86,,,2022-07-05,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1512601406731724119,2022-07-07,Sales,Lordstown Motors - 5,Lordstown Motors - 5 - 2 Jumbo Slices Combo,220.0,,,220.0,"Accounts Receivable, CA Sales Tax",Lordstown Motors,,5.0,,"[INTERNAL KITCHEN]
1 XL Veggie Pizza
1 XL (4 Slices Vegan Veggie Slices, 2 Slices Cheese)
3 XL Cheese
3 XL Pepperoni
1 XL (4 Slices Pepperoni, 2 Slices Cheese)",220.0,17.05,CA Sales Tax,2022-07-07,2022-07-07,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1512601406731724119,2022-07-07,Sales,Lordstown Motors - 5,Lordstown Motors - 5 - 2 Jumbo Slices Combo,20.0,,,20.0,"Accounts Receivable, CA Sales Tax",Lordstown Motors,,5.0,,"[INTERNAL KITCHEN]
1 XL Veggie Pizza
1 XL (4 Slices Vegan Veggie Slices, 2 Slices Cheese)
3 XL Cheese
3 XL Pepperoni
1 XL (4 Slices Pepperoni, 2 Slices Cheese)",20.0,1.55,CA Sales Tax,2022-07-07,2022-07-07,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1512601406731724119,2022-07-07,Sales,Lordstown Motors - 5,Lordstown Motors - 5 - 2 Jumbo Slices Combo,30.0,,,30.0,"Accounts Receivable, CA Sales Tax",Lordstown Motors,,5.0,,"[INTERNAL KITCHEN]
1 XL Veggie Pizza
1 XL (4 Slices Vegan Veggie Slices, 2 Slices Cheese)
3 XL Cheese
3 XL Pepperoni
1 XL (4 Slices Pepperoni, 2 Slices Cheese)",30.0,2.33,CA Sales Tax,2022-07-07,2022-07-07,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1512601406731724119,2022-07-07,Sales,Lordstown Motors - 5,Lordstown Motors - 5 - Delivery,9.07,,,9.07,"Accounts Receivable, CA Sales Tax",Lordstown Motors,,5.0,,"[INTERNAL KITCHEN]
1 XL Veggie Pizza
1 XL (4 Slices Vegan Veggie Slices, 2 Slices Cheese)
3 XL Cheese
3 XL Pepperoni
1 XL (4 Slices Pepperoni, 2 Slices Cheese)",9.07,,,2022-07-07,2022-07-07,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1512601406731724119,2022-07-07,Sales,Lordstown Motors - 5,Lordstown Motors - 5 - Side Salad,0.0,,,0.0,"Accounts Receivable, CA Sales Tax",Lordstown Motors,,5.0,,"[INTERNAL KITCHEN]
1 XL Veggie Pizza
1 XL (4 Slices Vegan Veggie Slices, 2 Slices Cheese)
3 XL Cheese
3 XL Pepperoni
1 XL (4 Slices Pepperoni, 2 Slices Cheese)",0.0,,,2022-07-07,2022-07-07,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1512601406731724119,2022-07-07,Sales,Lordstown Motors - 5,Lordstown Motors - 5 - Side Salad,0.0,,,0.0,"Accounts Receivable, CA Sales Tax",Lordstown Motors,,5.0,,"[INTERNAL KITCHEN]
1 XL Veggie Pizza
1 XL (4 Slices Vegan Veggie Slices, 2 Slices Cheese)
3 XL Cheese
3 XL Pepperoni
1 XL (4 Slices Pepperoni, 2 Slices Cheese)",0.0,,,2022-07-07,2022-07-07,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1532977310062355920,2022-08-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-O1R6E5W7L8V0 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,7822.11,,,7822.11,Business Advantage Chk (602),,,,,,7822.11,,,2022-08-01,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1557711751011641318,2022-09-06,Slice Sales,SLICE DES:SLICE15639 ID:ST-X7L9R3A6C4O0 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5110.54,,,5110.54,Business Advantage Chk (602),,,,,,5110.54,,,2022-09-06,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1578187099671110895,2022-10-04,Slice Sales,SLICE DES:SLICE15639 ID:ST-P6O8I9F3F3M6 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,5776.44,,,5776.44,Business Advantage Chk (602),,,,,,5776.44,,,2022-10-05,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1599783653376796229,2022-11-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-M2T1O3K2Q9R8 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,6741.78,,,6741.78,Business Advantage Chk (602),,,,,,6741.78,,,2022-11-03,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1623013377112548766,2022-12-05,Slice Sales,SLICE DES:SLICE15639 ID:ST-T0M8A5G8F1O8 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,6007.72,,,6007.72,Business Advantage Chk (602),,,,,,6007.72,,,2022-12-07,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1644752670432438253,2023-01-04,Slice Sales,SLICE DES:SLICE15639 ID:ST-M3I0Z5N8K0Y1 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,7654.77,,,7654.77,Business Advantage Chk (602),,,,,,7654.77,,,2023-01-06,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
1666188690449245429,2023-02-03,Slice Sales,SLICE DES:SLICE15639 ID:ST-P4W8Q4C2Z4T0 INDN:ACE A ROMA INC CO ID:XXXXX48598 CCD,,6720.39,,,6720.39,Business Advantage Chk (602),,,,,,6720.39,,,2023-02-04,2025-09-05,Income,Income,,Takeout/wave_aroma/accounting.csv,aroma
