missing_from,order_id,provider,restaurant_name,order_datetime,source_file
history,25462158,AMECI,Ameci,2020-02-16T00:00:00,All Orders Ameci.xlsx
history,25463303,AMECI,Ameci,2020-02-16T00:00:00,All Orders Ameci.xlsx
history,25471341,AMECI,Ameci,2020-02-17T00:00:00,All Orders Ameci.xlsx
history,25474109,AMECI,Ameci,2020-02-17T00:00:00,All Orders Ameci.xlsx
history,25487914,AMECI,Ameci,2020-02-17T00:00:00,All Orders Ameci.xlsx
history,25487969,AMECI,Ameci,2020-02-17T00:00:00,All Orders Ameci.xlsx
history,25495691,AMECI,Ameci,2020-02-18T00:00:00,All Orders Ameci.xlsx
history,25546368,AMECI,Ameci,2020-02-20T00:00:00,All Orders Ameci.xlsx
history,25565322,AMECI,Ameci,2020-02-20T00:00:00,All Orders Ameci.xlsx
history,25566986,AMECI,Ameci,2020-02-20T00:00:00,All Orders Ameci.xlsx
history,25566989,AMECI,Ameci,2020-02-20T00:00:00,All Orders Ameci.xlsx
history,25615891,AMECI,Ameci,2020-02-21T00:00:00,All Orders Ameci.xlsx
history,25616025,AMECI,Ameci,2020-02-21T00:00:00,All Orders Ameci.xlsx
history,25617677,AMECI,Ameci,2020-02-21T00:00:00,All Orders Ameci.xlsx
history,25618902,AMECI,Ameci,2020-02-21T00:00:00,All Orders Ameci.xlsx
history,25620126,AMECI,Ameci,2020-02-21T00:00:00,All Orders Ameci.xlsx
history,25664355,AMECI,Ameci,2020-02-22T00:00:00,All Orders Ameci.xlsx
history,25677805,AMECI,Ameci,2020-02-23T00:00:00,All Orders Ameci.xlsx
history,25694618,AMECI,Ameci,2020-02-23T00:00:00,All Orders Ameci.xlsx
history,25702207,AMECI,Ameci,2020-02-24T00:00:00,All Orders Ameci.xlsx
history,25737043,AMECI,Ameci,2020-02-25T00:00:00,All Orders Ameci.xlsx
history,25740584,AMECI,Ameci,2020-02-25T00:00:00,All Orders Ameci.xlsx
history,25741973,AMECI,Ameci,2020-02-25T00:00:00,All Orders Ameci.xlsx
history,25742127,AMECI,Ameci,2020-02-25T00:00:00,All Orders Ameci.xlsx
history,25742924,AMECI,Ameci,2020-02-25T00:00:00,All Orders Ameci.xlsx
history,25756281,AMECI,Ameci,2020-02-26T00:00:00,All Orders Ameci.xlsx
history,25772783,AMECI,Ameci,2020-02-26T00:00:00,All Orders Ameci.xlsx
history,25773409,AMECI,Ameci,2020-02-26T00:00:00,All Orders Ameci.xlsx
history,25775151,AMECI,Ameci,2020-02-26T00:00:00,All Orders Ameci.xlsx
history,25799252,AMECI,Ameci,2020-02-27T00:00:00,All Orders Ameci.xlsx
history,25819042,AMECI,Ameci,2020-02-28T00:00:00,All Orders Ameci.xlsx
history,25848751,AMECI,Ameci,2020-02-28T00:00:00,All Orders Ameci.xlsx
history,25852572,AMECI,Ameci,2020-02-28T00:00:00,All Orders Ameci.xlsx
history,25857477,AMECI,Ameci,2020-02-28T00:00:00,All Orders Ameci.xlsx
history,25858346,AMECI,Ameci,2020-02-28T00:00:00,All Orders Ameci.xlsx
history,25860311,AMECI,Ameci,2020-02-28T00:00:00,All Orders Ameci.xlsx
history,25886020,AMECI,Ameci,2020-02-29T00:00:00,All Orders Ameci.xlsx
history,25905040,AMECI,Ameci,2020-02-29T00:00:00,All Orders Ameci.xlsx
history,25907399,AMECI,Ameci,2020-02-29T00:00:00,All Orders Ameci.xlsx
history,25907634,AMECI,Ameci,2020-02-29T00:00:00,All Orders Ameci.xlsx
history,25907712,AMECI,Ameci,2020-02-29T00:00:00,All Orders Ameci.xlsx
history,25913752,AMECI,Ameci,2020-03-01T00:00:00,All Orders Ameci.xlsx
history,25936174,AMECI,Ameci,2020-03-01T00:00:00,All Orders Ameci.xlsx
history,25937384,AMECI,Ameci,2020-03-01T00:00:00,All Orders Ameci.xlsx
history,25938453,AMECI,Ameci,2020-03-01T00:00:00,All Orders Ameci.xlsx
history,25938766,AMECI,Ameci,2020-03-01T00:00:00,All Orders Ameci.xlsx
history,26013254,AMECI,Ameci,2020-03-04T00:00:00,All Orders Ameci.xlsx
history,26037920,AMECI,Ameci,2020-03-05T00:00:00,All Orders Ameci.xlsx
history,26039041,AMECI,Ameci,2020-03-05T00:00:00,All Orders Ameci.xlsx
history,26041479,AMECI,Ameci,2020-03-05T00:00:00,All Orders Ameci.xlsx
history,26043872,AMECI,Ameci,2020-03-05T00:00:00,All Orders Ameci.xlsx
history,26088839,AMECI,Ameci,2020-03-06T00:00:00,All Orders Ameci.xlsx
history,26101949,AMECI,Ameci,2020-03-06T00:00:00,All Orders Ameci.xlsx
history,26102852,AMECI,Ameci,2020-03-06T00:00:00,All Orders Ameci.xlsx
history,26109262,AMECI,Ameci,2020-03-07T00:00:00,All Orders Ameci.xlsx
history,26138146,AMECI,Ameci,2020-03-07T00:00:00,All Orders Ameci.xlsx
history,26140993,AMECI,Ameci,2020-03-07T00:00:00,All Orders Ameci.xlsx
history,26163398,AMECI,Ameci,2020-03-08T00:00:00,All Orders Ameci.xlsx
history,26174817,AMECI,Ameci,2020-03-08T00:00:00,All Orders Ameci.xlsx
history,26176161,AMECI,Ameci,2020-03-08T00:00:00,All Orders Ameci.xlsx
history,26176293,AMECI,Ameci,2020-03-08T00:00:00,All Orders Ameci.xlsx
history,26181691,AMECI,Ameci,2020-03-09T00:00:00,All Orders Ameci.xlsx
history,26182749,AMECI,Ameci,2020-03-09T00:00:00,All Orders Ameci.xlsx
history,26199060,AMECI,Ameci,2020-03-09T00:00:00,All Orders Ameci.xlsx
history,26199634,AMECI,Ameci,2020-03-09T00:00:00,All Orders Ameci.xlsx
history,26204511,AMECI,Ameci,2020-03-10T00:00:00,All Orders Ameci.xlsx
history,26205078,AMECI,Ameci,2020-03-10T00:00:00,All Orders Ameci.xlsx
history,26221374,AMECI,Ameci,2020-03-10T00:00:00,All Orders Ameci.xlsx
history,26244546,AMECI,Ameci,2020-03-11T00:00:00,All Orders Ameci.xlsx
history,26248482,AMECI,Ameci,2020-03-11T00:00:00,All Orders Ameci.xlsx
history,26249451,AMECI,Ameci,2020-03-11T00:00:00,All Orders Ameci.xlsx
history,26250324,AMECI,Ameci,2020-03-11T00:00:00,All Orders Ameci.xlsx
history,26278533,AMECI,Ameci,2020-03-12T00:00:00,All Orders Ameci.xlsx
