"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-969814057447878","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-969814057447878","MISSING_ITEM - Refund requested by diner via help interaction","1/17/21","7:03 PM","-2.99","0","0.00","-0.23","0","-3.22","0","0","0","0","0"
"O-700114115746759","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/23/21","8:05 PM","42.15","0","2.99","3.50","7.29","55.93","-11.29","0","-2.01","0","0"
"O-391913950512845","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/7/21","5:27 PM","17.68","0","4.99","1.37","3.61","27.65","-5.67","0","-0.99","0","-5.00"
"O-430314051290320","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/17/21","4:46 PM","27.98","0","4.99","2.56","0","35.53","-8.24","0","-1.38","0","0"
"O-394913897686337","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/1/21","6:19 PM","39.16","0","1.99","2.80","8.79","52.74","-10.29","0","-1.76","0","-5.00"
"O-392614136298247","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/26/21","12:30 PM","19.98","0","8.99","2.25","1.50","32.72","-7.24","0","-1.30","0","0"
"O-246914198402852","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/31/21","5:47 PM","19.98","0","0.00","1.55","0","21.53","-5.00","0","-0.96","0","0"
"O-697614114737772","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/23/21","6:13 PM","84.61","0","1.99","6.71","10.00","103.31","-21.65","0","-3.45","0","0"
"O-157114098849960","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/21/21","6:15 PM","30.96","0","1.99","2.55","12.00","47.50","-8.24","0","-1.75","0","0"
"O-595513897402230","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/2/21","1:50 PM","28.96","0","1.99","2.39","5.00","38.34","-7.74","0","-1.47","0","0"
"O-870413932362756","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/6/21","12:08 PM","22.73","0","0.00","1.76","0","24.49","-5.68","0","-1.05","0","0"
"O-177913920845159","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/4/21","7:37 PM","21.31","0","0.00","1.65","4.59","27.55","-5.33","0","-1.14","0","0"
"O-208713896277166","Aroma Pizza & Pasta - Alton Pkwy","Adjustment of O-208713896277166","Restaurant Closed","1/1/21","8:19 PM","-23.98","0","-8.99","-2.56","-5.33","-40.86","8.24","0","1.55","0","0"
"O-000914014356615","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/13/21","6:35 PM","17.99","0","6.99","1.93","4.00","30.91","-6.25","0","-1.24","0","0"
"O-796813976931148","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/9/21","6:36 PM","18.24","0","0.00","1.41","2.94","22.59","-4.56","0","-0.99","0","0"
