Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Adjustments,Taxes,Tip,Other,You earned,Notes
Payment,1/15/21,,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,,,,,-$15.54,Uber Eats direct payment debit
Payment,1/15/21,,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,,,,,-$351.02,Uber Eats direct payment debit
Payment,1/15/21,,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,,,,,-$21.90,Uber Eats direct payment debit
Payment,1/15/21,,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,,,,,-$163.12,Uber Eats direct payment debit
Payment,1/15/21,,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,,,,,-$63.71,Uber Eats direct payment debit
Payment,1/15/21,,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,,,,,,,-$7.76,Uber Eats direct payment debit
Delivery,1/15/21,#B61DC,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.98,-$3.60,$0.00,$0.00,,,$12.38,
Delivery,1/15/21,#642EA,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$30.48,-$7.17,$0.00,$0.00,,,$23.31,
Delivery,1/15/21,#68a7da50,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.19,$0.00,$1.20,,,$10.50,
Delivery,1/15/21,#165,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$43.99,-$17.60,$0.00,$3.41,,,$29.80,
Delivery,1/15/21,#b1b73768,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.45,-$6.18,$0.00,$1.20,,,$10.47,
Delivery,1/15/21,#7d4e0d8c,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.20,-$6.08,$0.00,$1.18,,,$10.30,
Delivery,1/15/21,#85860,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$6.50,$0.00,$0.00,,,$19.48,
Delivery,1/15/21,#133,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Postmates (API),$13.99,-$5.60,$0.00,$1.09,,,$9.48,
Delivery,1/15/21,#6680af03,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.19,$0.00,$1.20,,,$10.50,
Delivery,1/15/21,#70f53f90,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$18.49,-$7.39,$0.00,$1.43,,,$12.53,
Delivery,1/15/21,#5E8A5,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.48,-$8.19,$0.00,$1.59,,,$13.88,
Delivery,1/15/21,#985314022459800,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$13.99,-$5.60,$0.00,$1.08,,,$9.47,
Delivery,1/14/21,#8032e340,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$48.95,-$19.58,$0.00,$3.79,,,$33.16,
Delivery,1/14/21,#4510750b,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.19,$0.00,$1.20,,,$10.50,
Delivery,1/14/21,#955a5dd5,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.45,-$6.18,$0.00,$1.20,,,$10.47,
Delivery,1/14/21,#389514023010020,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$18.49,-$7.40,$0.00,$1.43,,,$12.52,
Delivery,1/14/21,#6C02D,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$6.10,$0.00,$0.00,,,$19.88,
Delivery,1/14/21,#86C57,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.98,-$5.40,$0.00,$0.00,,,$18.58,
Delivery,1/14/21,#325614022816789,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$18.50,-$7.16,$0.00,$0.81,,,$12.15,
Delivery,1/14/21,#208814022759545,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$52.21,-$20.54,$0.00,$3.19,,,$34.86,
Delivery,1/14/21,#a04c416a,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$7.18,$0.00,$1.39,,,$12.19,
