"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-722013396726608","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","12:17 PM","44.96","0","0.00","3.48","2.42","50.86","-5.62","-1.85","0"
"O-510913571437142","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/30/20","5:56 PM","27.45","0","2.99","2.36","3.28","36.08","-3.81","-1.40","0"
"O-296013340705502","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/7/20","7:28 PM","24.47","0","2.99","2.13","2.96","32.55","-3.43","-1.29","0"
"O-440213548854723","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/27/20","5:23 PM","32.22","0","2.99","2.73","5.69","43.63","-4.40","-1.63","0"
"O-506613472180340","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/20/20","5:45 PM","41.69","0","0.00","3.23","6.73","51.65","-5.21","-1.88","0"
"W-592913461314817","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/19/20","5:46 PM","22.97","0","0.00","1.78","1.25","26.00","0","-1.09","0"
"O-119513527176924","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/25/20","5:45 PM","30.51","0","4.99","2.75","5.74","43.99","-4.44","-1.64","0"
"O-067613360048769","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/10/20","12:00 PM","24.55","0","2.99","2.13","2.97","32.64","-3.44","-1.30","0"
"O-521213450653933","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/19/20","3:33 PM","34.00","0","0.00","2.64","5.50","42.14","-4.25","-1.59","0"
"O-144113305814515","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/3/20","6:05 PM","16.49","0","2.99","1.51","4.20","25.19","-2.44","-1.07","0"
"W-511713408774936","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/14/20","2:51 PM","22.78","0","2.99","2.00","5.55","33.32","0","-1.32","0"
"O-848513402481326","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/13/20","5:56 PM","18.24","0","2.99","1.64","4.57","27.44","-2.65","-1.14","0"
"O-769413513867525","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-769413513867525","Restaurant cannot fulfill order","11/24/20","7:26 PM","-54.44","0","-2.99","-4.45","-5.00","-66.88","0","2.34","0"
"O-757413518762765","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/24/20","8:45 PM","29.97","0","0.00","2.32","0","32.29","-3.75","-1.28","0"
"O-960613566921041","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/29/20","6:23 PM","25.74","0","2.99","2.22","4.64","35.59","-3.59","-1.39","0"
"O-466613332094446","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/6/20","6:26 PM","26.97","0","2.99","2.32","3.50","35.78","-3.75","-1.39","0"
"O-507413473208222","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/21/20","3:17 PM","26.32","0","2.99","2.27","3.16","34.74","-3.66","-1.36","0"
"O-018713320888261","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"11/5/20","5:31 PM","34.48","0","0.00","2.67","0","37.15","-4.31","-1.43","0"
