Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Marketplace Facilitator Tax,Total Tax Charged to Customer,Tax Passed through to Operator,Tip,Restaurant Fulfilled Delivery Fee,Other,You earned,Notes
Delivery,2022-01-27,#E61C0,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$13.00,-$5.20,$0.00,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$7.80,
Delivery,2022-01-27,#D489E,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$4.19,-$3.00,$0.00,-$1.16,$1.16,$0.00,,$0.00,,$10.79,
Delivery,2022-01-27,#56DA5,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$11.99,-$4.80,$0.00,$0.00,-$0.93,$0.93,$0.00,,$0.00,,$7.19,
Delivery,2022-01-27,#29be98c7,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.45,-$6.58,$0.00,$0.00,$0.00,$1.27,$1.27,,$0.00,,$11.14,
Delivery,2022-01-27,#859117807462030,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$21.98,-$8.79,$0.00,$0.00,$0.00,$1.70,$1.70,,$0.00,,$14.89,
Delivery,2022-01-27,#b8c0cb9d,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.95,-$6.78,$0.00,$0.00,$0.00,$1.31,$1.31,,$0.00,,$11.48,
Delivery,2022-01-27,#f381e3da,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.49,-$2.90,-$5.00,$0.00,$0.00,$1.20,$1.20,,$0.00,,$13.79,
Delivery,2022-01-27,#f655f8ab,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$17.98,-$3.20,-$3.99,$0.00,$0.00,$1.39,$1.39,,$0.00,,$12.18,
Delivery,2022-01-28,#67469,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,$2.60,-$12.99,$0.00,-$1.01,$1.01,$0.00,,$0.00,,$15.59,
Delivery,2022-01-28,#7DC46,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.49,-$6.59,$0.00,$0.00,-$1.28,$1.28,$0.00,,$0.00,,$9.90,
Delivery,2022-01-28,#b0ed9035,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$36.97,-$11.49,-$3.00,$0.00,$0.00,$2.63,$2.63,,$0.00,,$25.11,
Delivery,2022-01-28,#68954,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$32.97,-$13.19,$0.00,$0.00,-$2.56,$2.56,$0.00,,$0.00,,$19.78,
Delivery,2022-01-28,#857217802732422,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$19.99,-$8.00,$0.00,$0.00,$0.00,$1.55,$1.55,,$0.00,,$13.54,
Delivery,2022-01-28,#05648c21,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.00,-$5.60,$0.00,$0.00,$0.00,$1.09,$1.09,,$0.00,,$9.49,
Delivery,2022-01-28,#1133D,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.99,-$6.60,-$3.00,$0.00,-$1.63,$1.63,$0.00,,$0.00,,$14.39,
