"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-003417840663843","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/31/22","8:49 PM","33.98","0.00","0","2.63","0","36.61","-5.10","0","-1.42","0","0"
"T-AwEAAAAAAA9OoqTIMrBspRHsr0VHqG6-1Hs","Aroma Pizza & Pasta - Alton Pkwy","Account Adjustment","29571754-1325487 - AR","1/3/22","6:58 AM","0","0.00","0","0.00","0","65.70","0","0","0","0","0"
"O-419717635519942","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/11/22","1:39 PM","12.78","0.00","0","0.99","0","13.77","-1.92","0","-0.72","0","0"
"O-411417591778564","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/6/22","7:03 PM","42.47","0.00","0","3.29","0","45.76","-6.37","0","-1.70","0","0"
"O-311517815642661","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/28/22","6:19 PM","26.97","6.99","0","2.63","0","36.59","-5.09","0","-1.42","0","0"
"O-520317779976171","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/24/22","8:00 PM","14.46","0.00","0","1.12","2.33","17.91","-2.17","0","-0.85","0","0"
"O-955817637600603","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/10/22","7:25 PM","28.96","4.99","0","2.63","0","36.58","-5.09","0","-1.42","0","0"
"O-347817650210358","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/13/22","6:00 PM","15.98","4.99","0","1.63","1.72","24.32","-3.15","0","-1.04","0","0"
"O-520317739978052","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/20/22","6:06 PM","26.97","6.99","0","2.63","0","36.59","-5.09","0","-1.42","0","0"
"O-540917783099024","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/25/22","7:54 PM","38.97","4.99","0","3.41","7.10","54.47","-6.59","0","-1.96","0","0"
"O-129417743088450","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/22/22","1:27 PM","31.98","4.99","0","2.25","3.38","42.60","-5.55","0","-1.36","0","-8.00"
"O-726817823329904","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/29/22","5:40 PM","37.50","6.99","0","3.45","4.04","51.98","-6.67","0","-1.89","0","0"
"O-129417733083885","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/21/22","12:55 PM","14.99","0.00","0","1.16","0","16.15","-2.25","0","-0.79","0","0"
"O-411417621770380","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/9/22","6:45 PM","50.94","2.99","0","4.18","5.00","63.11","-8.09","0","-2.22","0","0"
"O-353517658971224","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/12/22","6:00 PM","61.60","4.99","0","5.16","6.64","78.39","-9.99","0","-2.69","0","0"
"O-850117687093012","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"1/15/22","6:53 PM","34.74","4.99","0","3.08","4.28","47.09","-5.96","0","-1.74","0","0"
"O-062317819905455","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/28/22","7:54 PM","43.99","0.00","0","3.41","0","47.40","-8.80","-4.40","-1.75","0","0"
"O-347817560227384","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/3/22","6:08 PM","44.70","0.00","0","3.46","0","48.16","-8.94","-4.47","-1.77","0","0"
"O-850117697046193","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/17/22","12:50 PM","14.99","0.00","0","1.16","0","16.15","-3.00","-1.50","-0.79","0","0"
"O-720517748038699","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/22/22","2:20 PM","26.98","0.00","0","2.09","0","29.07","-5.40","-2.70","-1.19","0","0"
"O-129417823017616","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/30/22","3:45 PM","35.98","0.00","0","2.79","0","38.77","-7.20","-3.60","-1.48","0","0"
"O-210117785637379","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/25/22","5:19 PM","17.99","0.00","0","1.39","0","19.38","-3.60","-1.80","-0.89","0","0"
"O-091817801515603","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/27/22","7:05 PM","15.98","0.00","0","1.24","0","17.22","-3.20","-1.60","-0.83","0","0"
"O-857217792739052","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/27/22","12:30 PM","30.22","0.00","0","2.34","0","32.56","-6.04","-3.02","-1.29","0","0"
"O-421617626591943","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/9/22","6:15 PM","27.73","0.00","0","2.15","0","29.88","-5.55","-2.77","-1.21","0","0"
"O-117017829792308","The Wing Shop - Alton Pkwy","Prepaid Order",,"1/29/22","7:05 PM","23.23","0.00","0","1.80","0","25.03","-4.65","-2.32","-1.06","0","0"
"O-347817600286368","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/7/22","7:45 PM","21.43","0.00","0","1.66","0","23.09","-4.29","-2.14","-1.00","0","0"
"O-311517725646211","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/19/22","7:08 PM","34.47","0.00","0","2.67","0","37.14","-6.89","-3.45","-1.43","0","0"
"O-680417680686815","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/16/22","4:38 PM","33.94","0.00","0","2.63","0","36.57","-6.79","-3.39","-1.42","0","0"
"O-371217702651877","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/18/22","4:15 PM","40.70","0.00","0","3.15","0","43.85","-8.14","-4.07","-1.64","0","0"
"O-421617666595927","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/13/22","5:41 PM","41.95","0.00","0","3.25","0","45.20","-8.39","-4.20","-1.68","0","0"
"O-349217678622421","Trattoria Contadina - Alton Pkwy","Prepaid Order",,"1/15/22","1:29 PM","23.93","0.00","0","1.85","0","25.78","-4.79","-2.39","-1.09","0","0"
