"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-699815491920488","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/10/21","9:04 PM","29.46","0","0.00","2.28","4.76","36.50","-7.37","0","-1.41","0"
"O-702515477760553","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/9/21","5:40 PM","18.48","0","4.99","1.82","3.49","28.78","-5.87","0","-1.18","0"
"O-259915415048694","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/3/21","2:19 PM","21.98","0","2.99","1.93","3.27","30.17","-6.24","0","-1.22","0"
"O-486615586486813","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/20/21","1:18 PM","36.96","0","4.99","3.25","10.27","55.47","-10.49","0","-1.99","0"
"O-823115510354887","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/13/21","4:54 PM","56.97","0","1.99","4.57","5.00","68.53","-14.74","0","-2.39","0"
"O-812015668949666","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/27/21","5:59 PM","24.27","0","4.99","2.27","4.73","36.26","-7.32","0","-1.41","0"
"O-711515568283449","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/17/21","7:34 PM","22.47","0","4.99","2.13","3.63","33.22","-6.87","0","-1.31","0"
"O-165215506662609","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/12/21","2:39 PM","15.57","0","4.99","1.60","4.00","26.16","-5.14","0","-1.10","0"
"O-719315561027027","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/17/21","5:45 PM","16.98","0","6.99","1.86","4.58","30.41","-5.99","0","-1.23","0"
"O-316815559911719","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/17/21","5:25 PM","25.31","0","1.99","2.11","4.41","33.82","-6.83","0","-1.33","0"
"O-207415579023423","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/18/21","9:04 PM","15.27","0","2.99","1.41","2.95","22.62","-4.57","0","-0.99","0"
"O-221415520301739","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/13/21","6:33 PM","19.28","0","0.00","1.49","3.11","23.88","-4.82","0","-1.03","0"
"O-950015516563298","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/12/21","9:03 PM","29.63","0","6.99","2.84","3.95","43.41","-9.16","0","-1.62","0"
"O-992315411464635","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/2/21","8:43 PM","25.35","0","4.99","2.35","3.27","35.96","-7.59","0","-1.40","0"
"O-051315457834175","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/6/21","6:36 PM","33.46","0","1.99","2.74","7.63","45.82","-8.86","0","-1.70","0"
"O-872815443035969","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/5/21","6:09 PM","36.27","0","0.00","2.81","0","39.08","-9.07","0","-1.49","0"
"O-390215660611330","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/27/21","7:20 PM","12.99","0","0.00","1.01","2.10","16.10","-3.25","0","-0.79","0"
"O-175815578186056","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/19/21","4:00 PM","46.95","0","0.00","3.64","5.00","55.59","-11.74","0","-2.00","0"
"O-776615644380833","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/26/21","3:40 PM","39.76","0","0.00","3.08","0","42.84","-9.94","0","-1.61","0"
"O-957915401222816","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/2/21","5:39 PM","30.47","0","8.99","3.06","5.00","47.52","-9.87","0","-1.75","0"
"O-023815420868701","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/3/21","8:08 PM","34.97","0","4.99","3.10","4.31","47.37","-9.99","0","-1.74","0"
"O-490215654197351","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/26/21","7:02 PM","32.97","0","0.00","2.56","0","35.53","-8.24","0","-1.38","0"
"O-330915675593460","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/28/21","7:18 PM","23.98","0","6.99","2.40","5.01","38.38","-7.74","0","-1.47","0"
"O-881215619543441","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/22/21","8:32 PM","35.46","0","6.99","3.29","2.00","47.74","-10.61","0","-1.76","0"
"O-887615523545648","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/13/21","6:12 PM","79.66","0","4.99","6.56","9.12","100.33","-21.16","0","-3.36","0"
"O-366515483153210","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"6/10/21","3:22 PM","15.98","0","0.00","1.24","2.00","19.22","-4.00","0","-0.89","0"
