"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-247415088251147","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","6:33 PM","23.23","0","2.99","2.03","4.24","32.49","-6.56","0","-1.29","0"
"O-385215089328140","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","9:12 PM","30.56","0","6.99","2.91","6.59","47.05","-9.39","0","-1.74","0"
"O-633114937319312","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","2:08 PM","28.46","0","6.99","2.75","5.00","43.20","-8.86","0","-1.62","0"
"O-035714892359288","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/11/21","7:54 PM","23.98","0","6.99","2.40","2.58","35.95","-7.74","0","-1.40","0"
"O-055914863647432","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/8/21","9:54 PM","34.70","0","2.99","2.92","0","40.61","-9.42","0","-1.54","0"
"O-397415074557557","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/29/21","6:37 PM","36.97","0","8.99","3.57","4.95","54.48","-11.49","0","-1.96","0"
"O-456914851705882","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/8/21","1:29 PM","27.50","0","2.99","2.36","6.57","39.42","-7.62","0","-1.50","0"
"O-919515078514346","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","4:42 PM","43.13","0","6.99","3.88","8.10","62.10","-12.53","0","-2.19","0"
"O-185214955653493","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/18/21","2:25 PM","25.57","0","6.99","2.52","4.00","39.08","-8.14","0","-1.49","0"
"O-886414895019814","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/11/21","7:42 PM","27.74","0","6.99","2.69","4.48","41.90","-8.68","0","-1.58","0"
"O-154714942776216","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","6:03 PM","30.97","0","1.99","2.55","7.10","42.61","-8.24","0","-1.60","0"
"O-150314886128997","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/11/21","5:13 PM","18.99","0","4.99","1.86","5.17","31.01","-6.00","0","-1.25","0"
"O-286514947864543","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/16/21","7:11 PM","36.38","0","8.99","3.52","7.33","56.22","-11.34","0","-2.01","0"
"O-150314806133734","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/2/21","6:15 PM","25.97","0","8.99","2.71","7.53","45.20","-8.74","0","-1.68","0"
"O-247415088250023","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/30/21","6:59 PM","44.73","0","1.99","3.62","7.55","57.89","-11.68","0","-2.07","0"
"O-124215019907699","Aroma Pizza & Pasta - Alton Pkwy","Prepaid Order",,"4/23/21","8:38 PM","21.57","0","1.99","1.82","3.49","28.87","-5.89","0","-1.18","0"
